Name,Yearinservice,Origin,Numberbuilt,Notes
T-80,1976,Soviet Union,"5,400+","World's first tank solely equipped with a turbine engine (the Swedish strv 103 that entered service in 1960s used a turbine engine alongside a diesel). The earliest models are considered as intermediate second generation, while models from T-80U (1986) onwards are third generation."
Leopard 2,1979,West Germany,"3,600",Development of the Leopard 2 Main Battle Tank (MBT) began in 1970. It was just a couple of years after a previous Leopard 1 entered service. Is armed with a fully-stabilized Rheinmetall RH-M-120 120 mm smoothbore gun.
MBT-80,1980,United Kingdom,17 prototypes,"The FV4601 MBT-80 was a British experimental third-generation main battle tank, designed in the late 1970s to replace the Chieftain tank. It was eventually cancelled in favour of the Challenger 1, itself an evolution of the Chieftain design."
M1 Abrams,1980,United States,"10,400","Production began (at Chrysler) in 1979 and continued to 1985 (at General Dynamics) (3,273 built for the US)."
FV4030/4 Challenger 1,1983,United Kingdom,420,"Replaced FV 4201 Chieftain. The Challenger 1 is armed with a fully-stabilized British L11A5 120 mm rifled gun. It is a significantly improved version of the Chieftain's gun. It is extremely accurate, however this MBT was fitted with slow fire control system. The Challenger 1 MBT is powered by a Rolls-Royce Condor CV12-1200TCA turbocharged diesel engine, developing 1200 hp."
AMX-40,1983,France,Few prototypes,"The AMX-40 was a French main battle tank developed by GIAT during the latter stages of the Cold War as an export tank to replace the earlier AMX-32. Designed to be an inexpensive tank orientated towards militaries with smaller defence budgets, the AMX-40 featured a lightly armoured hull and good mobility reminiscent of previous French MBTs with a powerful 120 mm cannon. It however failed to attract interest and sales, rendering the project a failure, being discontinued in 1990."
M-84,1984,Yugoslavia,650,"The M-84 main battle tank is essentially the Soviet T-72, produced under license. However it has a number of Yugoslavian sub-systems. Production of the M-84 MBT began in 1983 and first vehicles entered service in 1984. By 1992 over 600 of these MBTs have been built. Currently it is operational with some countries of the former Yugoslavia and Kuwait."
EE-T1/EE-T2 Osório,1985,Brazil,2 prototypes,"The Engesa EE-T1 Osório was a Brazilian main battle tank prototype developed by Engesa. The tank was intended to be sold first to Arab and other Third World countries, jump-starting production and enabling the Brazilian Army to later place its own orders without having to fund development costs. Development of the tank was initially privately funded by Engesa, but cashflow issues eventually led to the Brazilian government extending a loan to assist the program. Two prototypes of the tank were built, but the EE-T1 was never adopted for service."
M1A1 Abrams,1986,United States,"6,109","Improved M1 Abrams. Production started in 1985 and continued to 1992, pressurized NBC system, rear bustle rack for improved stowage of supplies and crew belongings, redesigned blow-off panels and M256 120 mm smoothbore cannon (4,976 built for the U.S. Army, 221 for USMC, 59 M1A1 AIM SA sold to Australia)."
Panzer 87,1987,Switzerland,380,"License manufactured in Switzerland of the Leopard2A4. This version included Swiss-built 7.5 mm MG 87 machine guns, communications equipment, and featured improved NBC protection system. Switzerland operated 380 Panzer 87 tanks."
TR-125,1987,Socialist Republic of Romania,5-10 prototypes,Prototype main battle tank is a redesigned T-72 made in Romania with Romanian components only. It is now designated P-125 (P stands for Prototype).
T-80UD Bereza,1987,Soviet Union,500-800,"Ukrainian diesel version with 1,000 hp 6TD engine and remote-controlled antiaircraft machine gun."
K1 88-Tank,1988,South Korea,"1,027","First Main Battle Tank in use with the Republic of Korea Armed Forces, developed by Hyundai Precision (later Hyundai Rotem)."
Lion of Babylon,1989,Iraq,500-750,Licensed copy of the T-72.
Merkava Mark III,1989,Israel,780,"As of 2022, the Merkava III was retired from active service but is still the most numerous tank in the IDF's arsenal. Compared to the Merkava Mark II, it has upgrades to the drivetrain, powertrain, armament, and electronic systems. The most prominent addition was the incorporation of the locally developed IMI 120 mm gun."
Type 90,1990,Japan,341,"Development of the new Japanese Main Battle Tank (MBT) commenced in 1976. It was intended to replace the Type 61 medium tanks in service with Japanese Ground Self-Defense Forces (JGSDF). The new tank was developed by Mitsubishi Heavy Industries in cooperation with German Krauss-Maffei and MaK tank manufacturers. This MBT is armed with German Rheinmetall RH-M-120 120 mm smoothbore gun, which was produced in Japan under license by Japan Steel Works. It fires HEAT-MP and APFSDS-T rounds, but is also compatible with all standard NATO 120 mm tank ammunition."
M-91 Vihor,1991,Yugoslavia,2 prototypes,"The M-91 Vihor is a Yugoslav main battle tank prototype, based on the M-84, which is turn a Yugoslav-made licensed copy of the Russian T-72. Due to the Disintegration of Yugoslavia, it never entered production, and only a few prototypes were made, mainly for testing. Its development later led to the M-95 Degman."
Pokpung-ho II,1992,North Korea,200-500,"A further development of Ch'onma-Ho. The tank may incorporate technology found in the T-62, T-72, and Ch'onma-ho MBTs. The P'okp'ung-ho is only known to be used in North Korea."
M1A2 Abrams,1992,United States,2855,"Improved M1A1 Abrams. Production began in 1986 and entered service in 1992 (77 built for the U.S. and more than 600 M1s upgraded to M1A2, 315 for Saudi Arabia, 1,005 for Egypt, 218 for Kuwait). The M1A2 offers the tank commander an independent thermal sight and ability to, in rapid sequence, shoot at two targets without the need to acquire each one sequentially, also 2nd generation depleted uranium armor components."
Leclerc,1992,France,862,"Replaced AMX 30. The Leclerc main battle tank was developed by GIAT Industries. Its development began in 1978 and first prototypes were built in 1989. Production of the Leclerc MBT started in 1991. It is named in honor to general Philippe Jacques Leclerc, commander of French armored division during World War II. It is in service with France (406) and United Arab Emirates (388)."
